Nama Satuan Pendidikan;NPSN;Bentuk Pendidikan;Nomor Whatsapp;Nama Lengkap;Email/username;Password
SMKS MUHAMMADIYAH 9 WAGIR;20570106;SMK;0812345865;SMKS MUHAMMADIYAH 9 WAGIR;20570106.SMK@gmail.com;20570106_SMK
SMKS NAHDLATUL ULAMA GONDANGLEGI;20517765;SMK;0812345866;SMKS NAHDLATUL ULAMA GONDANGLEGI;20517765.SMK@gmail.com;20517765_SMK
SMKS NAHYADA GLOBAL;20577836;SMK;0812345867;SMKS NAHYADA GLOBAL;20577836.SMK@gmail.com;20577836_SMK
SMKS NU MIFTAHUL HUDA KEPANJEN;20517742;SMK;0812345868;SMKS NU MIFTAHUL HUDA KEPANJEN;20517742.SMK@gmail.com;20517742_SMK
SMKS NU SUNAN AMPEL;20553265;SMK;0812345869;SMKS NU SUNAN AMPEL;20553265.SMK@gmail.com;20553265_SMK
SMKS NU SUNAN GIRI KEPANJEN;20517769;SMK;0812345870;SMKS NU SUNAN GIRI KEPANJEN;20517769.SMK@gmail.com;20517769_SMK
SMKS NURUL HAROMAIN PUJON;69726602;SMK;0812345871;SMKS NURUL HAROMAIN PUJON;69726602.SMK@gmail.com;69726602_SMK
SMKS PENERBANGAN ANGKASA;20517780;SMK;0812345872;SMKS PENERBANGAN ANGKASA;20517780.SMK@gmail.com;20517780_SMK
SMKS PGRI 01 WAJAK;20576889;SMK;0812345873;SMKS PGRI 01 WAJAK;20576889.SMK@gmail.com;20576889_SMK
SMKS PGRI 2 TUREN;20566376;SMK;0812345874;SMKS PGRI 2 TUREN;20566376.SMK@gmail.com;20566376_SMK
SMKS PGRI AMPELGADING;20572006;SMK;0812345875;SMKS PGRI AMPELGADING;20572006.SMK@gmail.com;20572006_SMK
SMKS PGRI BANTUR;20517756;SMK;0812345876;SMKS PGRI BANTUR;20517756.SMK@gmail.com;20517756_SMK
SMKS PGRI DAMPIT;20517743;SMK;0812345877;SMKS PGRI DAMPIT;20517743.SMK@gmail.com;20517743_SMK
SMKS PGRI GEDANGAN;20517744;SMK;0812345878;SMKS PGRI GEDANGAN;20517744.SMK@gmail.com;20517744_SMK
SMKS PGRI KASEMBON;20517745;SMK;0812345879;SMKS PGRI KASEMBON;20517745.SMK@gmail.com;20517745_SMK
SMKS PGRI KROMENGAN;20549522;SMK;0812345880;SMKS PGRI KROMENGAN;20549522.SMK@gmail.com;20549522_SMK
SMKS PGRI LAWANG;20564087;SMK;0812345881;SMKS PGRI LAWANG;20564087.SMK@gmail.com;20564087_SMK
SMKS PGRI NGAJUM;69753184;SMK;0812345882;SMKS PGRI NGAJUM;69753184.SMK@gmail.com;69753184_SMK
SMKS PGRI PAKIS GRAFIKA;20549519;SMK;0812345883;SMKS PGRI PAKIS GRAFIKA;20549519.SMK@gmail.com;20549519_SMK
SMKS PGRI PAKISAJI;20517747;SMK;0812345884;SMKS PGRI PAKISAJI;20517747.SMK@gmail.com;20517747_SMK
SMKS PGRI SINGOSARI;20517748;SMK;0812345885;SMKS PGRI SINGOSARI;20517748.SMK@gmail.com;20517748_SMK
SMKS PGRI SUMBER MANJING;20517749;SMK;0812345886;SMKS PGRI SUMBER MANJING;20517749.SMK@gmail.com;20517749_SMK
SMKS PGRI SUMBERPUCUNG;20517750;SMK;0812345887;SMKS PGRI SUMBERPUCUNG;20517750.SMK@gmail.com;20517750_SMK
SMKS PGRI TUREN;20517751;SMK;0812345888;SMKS PGRI TUREN;20517751.SMK@gmail.com;20517751_SMK
SMKS PLUS ALMAARIF SINGOSARI;20564088;SMK;0812345889;SMKS PLUS ALMAARIF SINGOSARI;20564088.SMK@gmail.com;20564088_SMK
SMKS PLUS TAUFIQIYAH BULULAWANG;20570882;SMK;0812345890;SMKS PLUS TAUFIQIYAH BULULAWANG;20570882.SMK@gmail.com;20570882_SMK
SMKS PP WIYATA BAKTI DAU;20573179;SMK;0812345891;SMKS PP WIYATA BAKTI DAU;20573179.SMK@gmail.com;20573179_SMK
SMKS PROF SURYONO;20517752;SMK;0812345892;SMKS PROF SURYONO;20517752.SMK@gmail.com;20517752_SMK
SMKS PUTRA BANGSA PAGAK;20574665;SMK;0812345893;SMKS PUTRA BANGSA PAGAK;20574665.SMK@gmail.com;20574665_SMK
SMKS RIYADLUL QURAN NGAJUM;20555401;SMK;0812345894;SMKS RIYADLUL QURAN NGAJUM;20555401.SMK@gmail.com;20555401_SMK
SMKS ROUDLOTUL ULUM KROMENGAN;69726604;SMK;0812345895;SMKS ROUDLOTUL ULUM KROMENGAN;69726604.SMK@gmail.com;69726604_SMK
SMKS SHIFA KALIPARE;69755819;SMK;0812345896;SMKS SHIFA KALIPARE;69755819.SMK@gmail.com;69755819_SMK
SMKS SUNAN AMPEL KASEMBON;20566332;SMK;0812345897;SMKS SUNAN AMPEL KASEMBON;20566332.SMK@gmail.com;20566332_SMK
SMKS SUNAN KALIJOGO JABUNG;69761920;SMK;0812345898;SMKS SUNAN KALIJOGO JABUNG;69761920.SMK@gmail.com;69761920_SMK
SMKS TARUNA BANGSA WAGIR;20568530;SMK;0812345899;SMKS TARUNA BANGSA WAGIR;20568530.SMK@gmail.com;20568530_SMK
SMKS TEKNOLOGI PERTANIAN QODIRIYAH SULAIMANIYAH SINGOSARI;69787565;SMK;0812345900;SMKS TEKNOLOGI PERTANIAN QODIRIYAH SULAIMANIYAH SINGOSARI;69787565.SMK@gmail.com;69787565_SMK
SMKS TERPADU AL ISHLAHIYAH SINGOSARI;20549523;SMK;0812345901;SMKS TERPADU AL ISHLAHIYAH SINGOSARI;20549523.SMK@gmail.com;20549523_SMK
SMKS TERPADU TUREN;20570669;SMK;0812345902;SMKS TERPADU TUREN;20570669.SMK@gmail.com;20570669_SMK
SMKS TUREN;20517753;SMK;0812345903;SMKS TUREN;20517753.SMK@gmail.com;20517753_SMK
SMKS WALI SONGO BULULAWANG;20557424;SMK;0812345904;SMKS WALI SONGO BULULAWANG;20557424.SMK@gmail.com;20557424_SMK
SMKS WIDYA DHARMA TUREN;20517754;SMK;0812345905;SMKS WIDYA DHARMA TUREN;20517754.SMK@gmail.com;20517754_SMK
SMKS WIDYA KARTIKA KARANGPLOSO;20517755;SMK;0812345906;SMKS WIDYA KARTIKA KARANGPLOSO;20517755.SMK@gmail.com;20517755_SMK
SMPLB IDAYU 2;20562764;SLB;0812345907;SMPLB IDAYU 2;20562764.SLB@gmail.com;20562764_SLB
